Wall time,Step,Value
1607104965.65816,6963,0.0
1607104966.524763,6966,0.0
1607104974.095836,6992,0.0
1607104979.679482,7010,0.0
1607104980.843457,7014,0.0
1607104988.086227,7039,0.0
1607104995.624405,7065,0.0
1607105003.254469,7091,0.0
1607105007.620245,7106,0.0
1607105009.945825,7114,0.0
1607105010.238397,7115,0.0
1607105016.660728,7137,0.0
1607105017.825112,7141,0.0
1607105021.91339,7155,0.0
1607105033.583677,7195,0.0
1607105036.213278,7204,0.0
1607105039.72767,7216,0.0
1607105045.288238,7235,0.0
1607105046.157407,7238,0.0
1607105048.779663,7247,0.0
1607105064.305713,7300,0.0
1607105067.515235,7311,0.0
1607105072.774817,7329,0.0
1607105075.693543,7339,0.0
1607105075.98197,7340,0.0
1607105081.223965,7358,0.0
1607105081.519713,7359,0.0
1607105088.224173,7382,0.0
1607105089.379618,7386,0.0
1607105093.785296,7401,0.0
1607105102.504794,7431,0.0
1607105105.126574,7440,0.0
1607105106.00472,7443,0.0
1607105108.049039,7450,0.0
1607105110.978092,7460,0.0
1607105111.846265,7463,0.0
1607105113.31562,7468,0.0
1607105116.221026,7478,0.0
1607105123.23027,7502,0.0
1607105125.865369,7511,0.0
1607105131.400813,7530,0.0
1607105136.364905,7547,0.0
1607105154.43274,7609,0.0
1607105164.678425,7644,0.0
1607105169.653178,7661,0.0
1607105172.558784,7671,0.0
1607105174.032821,7676,0.0
1607105177.266139,7687,0.0
1607105179.006196,7693,0.0
1607105181.055417,7700,0.0
1607105186.303408,7718,0.0
1607105187.74809,7723,0.0
1607105189.202572,7728,0.0
1607105194.455426,7746,0.0
1607105197.67068,7757,0.0
1607105198.547276,7760,0.0
1607105204.395308,7780,0.0
1607105206.719033,7788,0.0
1607105209.603615,7798,0.0
1607105213.125104,7810,0.0
1607105219.844015,7833,0.0
1607105221.315907,7838,0.0
1607105239.065598,7899,0.0
1607105239.356952,7900,0.0
1607105248.715384,7932,0.0
1607105261.248994,7975,0.0
1607105263.581381,7983,0.0
1607105265.902086,7991,0.0
1607105266.186656,7992,0.0
1607105276.450501,8026,0.0
1607105279.642122,8037,0.0
1607105283.143494,8049,0.0
1607105288.136331,8066,0.0
1607105305.582663,8126,0.0
1607105312.552099,8150,0.0
1607105321.309875,8180,0.0
1607105322.481231,8184,0.0
1607105326.550834,8198,0.0
1607105331.500107,8215,0.0
1607105333.262475,8221,0.0
1607105345.464293,8263,0.0
1607105350.095539,8279,0.0
1607105353.305316,8290,0.0
1607105355.916715,8299,0.0
1607105358.283618,8307,0.0
1607105364.088119,8327,0.0
1607105364.66136,8329,0.0
1607105365.532695,8332,0.0
1607105366.124688,8334,0.0
1607105367.875712,8340,0.0
1607105373.693043,8360,0.0
1607105374.559327,8363,0.0
1607105376.035596,8368,0.0
1607105378.660398,8377,0.0
1607105399.045625,8447,0.0
1607105404.858081,8467,0.0
1607105405.162991,8468,0.0
1607105405.741394,8470,0.0
1607105409.820777,8484,0.0
1607105410.981093,8488,0.0
1607105413.590056,8497,0.0
1607105413.883778,8498,0.0
1607105415.344982,8503,0.0
1607105416.803168,8508,0.0
1607105421.189805,8523,0.0
1607105430.204389,8554,0.0
1607105433.711413,8566,0.0
1607105435.751715,8573,0.0
1607105437.213379,8578,0.0
1607105441.268227,8592,0.0
1607105443.889627,8601,0.0
1607105451.483889,8627,0.0
1607105453.52356,8634,0.0
1607105453.813761,8635,0.0
1607105456.450585,8644,0.0
1607105467.505301,8682,0.0
1607105469.847456,8690,0.0
1607105470.142697,8691,0.0
1607105471.313577,8695,0.0
1607105480.623238,8727,0.0
1607105494.296085,8774,0.0
1607105495.474712,8778,0.0
1607105500.746624,8796,0.0
1607105502.214103,8801,0.0
1607105507.490173,8819,0.0
1607105508.358595,8822,0.0
1607105514.50676,8843,0.0
1607105517.69235,8854,0.0
1607105524.695396,8878,0.0
1607105526.746805,8885,0.0
1607105531.684642,8902,0.0
1607105532.259555,8904,0.0
1607105533.153242,8907,0.0
1607105539.270236,8928,0.0
1607105539.846543,8930,0.0
1607105541.309416,8935,0.0
1607105544.510641,8946,0.0
1607105548.015362,8958,0.0
1607105552.966683,8975,0.0
1607105558.219283,8993,0.0
1607105559.950729,8999,0.0
1607105563.224593,9009,0.0
1607105568.515501,9027,0.0
1607105568.809631,9028,0.0
1607105576.697885,9055,0.0
